address,size/byte,type,description,value,,,,,,
0x00,4,unsigned char,LED_MODE 0: all off,"1: one color 
r,g,b","2: listening
[padding 1 byte]
direction [2 bytes]",3: waiting,"4:speaking
strength [1 byte]
direction [2 bytes]","5.volume
volume [1 byte]",6.display led data,7:auto voice located
,,,null,b,null,null,STRENGTH,null,null,null
,,,null,g,DIRECTION_L,null,DIRECTION_L,null,null,null
,,,null,r,DIRECTION_H,null,DIRECTION_H,VOLUME,null,null
0X01,1,unsigned char,CENTRAL_LED_STATUS,[0..1],,,,,,
0X02,2,unsigned char,MIC_TEST_DATA,"1:mic testing finished,0:mic testing not finished
set as 0 will call the mic testing process",,,,,,
,,,,"1 bit as one mic result, 1: ok, 0: fail.if all mic is ok, will return 0x7f",,,,,,
0X03,1,unsigned char,LED0 RGB data：b,0-255,,,,,,
,1,unsigned char,g,0-255,,,,,,
,1,unsigned char,r,0-255,,,,,,
,1,unsigned char,null,0,,,,,,
0X04,4,unsigned char x4,LED1 RGB data:as above,,,,,,,
0X05,4,unsigned char x4,LED2 RGB data:as above,,,,,,,
0X06,4,unsigned char x4,LED3 RGB data:as above,,,,,,,
0X07,4,unsigned char x4,LED4 RGB data:as above,,,,,,,
0X08,4,unsigned char x4,LED5 RGB data:as above,,,,,,,
0X09,4,unsigned char x4,LED6 RGB data:as above,,,,,,,
0X0A,4,unsigned char x4,LED7 RGB data:as above,,,,,,,
0X0B,4,unsigned char x4,LED8 RGB data:as above,,,,,,,
0X0C,4,unsigned char x4,LED9 RGB data:as above,,,,,,,
0X0D,4,unsigned char x4,LED10 RGB data:as above,,,,,,,
0X0E,4,unsigned char x4,LED11 RGB data:as above,,,,,,,
0X0F,1,char,SPK_INPUT_GAIN_DB,[-100..100 dB] initial loudspeaker signal input gain,,,,,,
0X10,1,char,MIC_GAIN_DB,[-100..36 dB] initial microphone signal gain,,,,,,
0X11,1,unsigned char,SFREQ_SPK,16 kHz sampling rates,,,,,,
0X12,1,unsigned char,SFREQ_MIC,0/16 kHz sampling rates,,,,,,
0X13,1,unsigned char,BYPASS_ON,"[0..4]:      0: normal operation, 1: bypass with spk processing, 2: pure bypass",,,,,,
0X14,1,unsigned char,MIC_SHIFT,[0..4] left shift of microphone input signal,,,,,,
0X15,1,unsigned char,BF_ON,"[0, 1]:      0: off, 1: on",,,,,,
0X16,1,unsigned char,BF_DIRECTION,"[0..3]:      0: 360 degree, 1: end-fire 1, 2: end-fire 2, 3: line array",,,,,,
0X17,1,unsigned char,BF_FOCUS,[0..10]:     beamformer focus,,,,,,
0X18,1,char,BF_DIFFGAIN_DB,[-20..0]:    diffuse sound gain [dB],,,,,,
0X19,1,unsigned char,NS_ON,"[0, 1]:      0: off, 1: on",,,,,,
0X1A,1,char,NS_ATTLIMIT_DB,[-20..0]:    noise attenuation in dB,,,,,,
0X1B,1,unsigned char,RVB_ON,"[0, 1]:      0: off, 1: on ",,,,,,
0X1C,1,char,RVB_ATTLIMIT_DB,[-20..0]:    reverb attenuation in dB,,,,,,
0X1D,1,unsigned char,AEC_ON,"[0, 1]:      0: off, 1: on",,,,,,
0X1E,1,char,AEC_DELAY_MS,"[-1, 0..30]: -1: auto, 0..30 AEC delay [ms] ",,,,,,
0X1F,1,unsigned char,AEC_STRENGTH,[0..10]:     echo suppression strength,,,,,,
0X20,1,unsigned char,AEC_NONLIN,[0..10]:     non-linearity modeling,,,,,,
